Word Range,Train Samples/Class,Test Samples/Class,Accuracy,Macro F1,ROC-AUC,Top 3 Predictive Features
401-500,1000,861,0.7776,0.7773,0.8575,"sw_gradient avg_word_length, entropy sw_gradient, hapax_ratio avg_word_length, pronoun_ratio avg_word_length, lexical_density avg_word_length"
401-500,250,861,0.7764,0.7757,0.8505,"sw_gradient avg_word_length, entropy sw_gradient, entropy punct_density, pronoun_ratio avg_word_length, entropy lexical_density"
401-500,1500,861,0.7758,0.7754,0.8587,"sw_gradient avg_word_length, hapax_ratio avg_word_length, lexical_density avg_word_length, entropy sw_gradient, pronoun_ratio avg_word_length"
401-500,500,861,0.7747,0.7742,0.8513,"entropy lexical_density, sw_gradient avg_word_length, entropy sw_gradient, entropy punct_density, pronoun_ratio avg_word_length"
401-600,1000,1000,0.774,0.7735,0.8504,"entropy sw_gradient, lexical_density avg_word_length, sw_gradient avg_word_length, pronoun_ratio avg_word_length, entropy lexical_density"
201-400,1500,1000,0.773,0.7729,0.8513,"hapax_ratio avg_word_length, pronoun_ratio avg_word_length, unique_words_ratio avg_word_length, sw_gradient avg_word_length, entropy punct_density"
201-400,500,1000,0.7725,0.7725,0.8453,"hapax_ratio avg_word_length, pronoun_ratio avg_word_length, unique_words_ratio avg_word_length, entropy, perplexity"
201-400,1000,1000,0.772,0.7718,0.8491,"hapax_ratio avg_word_length, pronoun_ratio avg_word_length, unique_words_ratio avg_word_length, sw_gradient avg_word_length, entropy sw_gradient"
401-600,1500,1000,0.7715,0.7708,0.8515,"entropy sw_gradient, lexical_density avg_word_length, sw_gradient avg_word_length, pronoun_ratio avg_word_length, punct_density avg_word_length"
601-700,500,318,0.7704,0.7699,0.8619,"hapax_ratio avg_word_length, lexical_density avg_word_length, unique_words_ratio avg_word_length, pronoun_ratio avg_word_length, entropy hapax_ratio"
401-600,500,1000,0.7695,0.7693,0.8493,"lexical_density avg_word_length, sw_gradient avg_word_length, entropy sw_gradient, pronoun_ratio avg_word_length, punct_density avg_word_length"
501-600,1500,439,0.7677,0.767,0.8427,"hapax_ratio avg_word_length, unique_words_ratio avg_word_length, entropy hapax_ratio, entropy sw_gradient, entropy unique_words_ratio"
501-600,500,439,0.7665,0.766,0.8393,"entropy hapax_ratio, entropy unique_words_ratio, hapax_ratio avg_word_length, unique_words_ratio avg_word_length, entropy lexical_density"
401-600,250,1000,0.7655,0.7654,0.8453,"entropy lexical_density, entropy avg_word_length, perplexity unique_words_ratio, punct_density avg_word_length, perplexity ttr_slope"
501-600,1000,439,0.7654,0.7648,0.8393,"hapax_ratio avg_word_length, entropy hapax_ratio, unique_words_ratio avg_word_length, entropy unique_words_ratio, entropy"
601-700,1202,318,0.7642,0.7633,0.8634,"lexical_density avg_word_length, hapax_ratio avg_word_length, pronoun_ratio avg_word_length, unique_words_ratio avg_word_length, sw_gradient avg_word_length"
201-400,250,1000,0.762,0.7618,0.8435,"hapax_ratio avg_word_length, pronoun_ratio avg_word_length, entropy, unique_words_ratio avg_word_length, entropy avg_word_length"
601-700,1000,318,0.7626,0.7617,0.8648,"lexical_density avg_word_length, hapax_ratio avg_word_length, pronoun_ratio avg_word_length, unique_words_ratio avg_word_length, sw_gradient avg_word_length"
601-700,250,318,0.761,0.7604,0.8531,"entropy, perplexity ttr_slope, hapax_ratio avg_word_length, unique_words_ratio avg_word_length, pronoun_ratio avg_word_length"
501-600,250,439,0.7517,0.7514,0.8336,"entropy hapax_ratio, entropy sw_gradient, sw_gradient avg_word_length, entropy punct_density, entropy unique_words_ratio"
Global (All),1500,1000,0.745,0.7447,0.8365,"avg_word_length, entropy, pronoun_ratio avg_word_length, lexical_density avg_word_length, unique_words_ratio avg_word_length"
201-300,1500,1000,0.74,0.739,0.8159,"pronoun_ratio avg_word_length, hapax_ratio avg_word_length, unique_words_ratio avg_word_length, sw_gradient avg_word_length, lexical_density avg_word_length"
201-300,1000,1000,0.7395,0.7389,0.8137,"pronoun_ratio avg_word_length, hapax_ratio avg_word_length, unique_words_ratio avg_word_length, entropy hapax_ratio, lexical_density avg_word_length"
Global (All),1000,1000,0.738,0.7375,0.8348,"pronoun_ratio avg_word_length, avg_word_length, entropy, entropy unique_words_ratio, unique_words_ratio avg_word_length"
201-300,500,1000,0.7365,0.7358,0.8107,"hapax_ratio avg_word_length, pronoun_ratio avg_word_length, lexical_density avg_word_length, unique_words_ratio avg_word_length, entropy hapax_ratio"
Global (All),500,1000,0.7345,0.734,0.8316,"pronoun_ratio avg_word_length, lexical_density avg_word_length, avg_word_length, entropy lexical_density, entropy"
201-300,250,1000,0.7305,0.7301,0.8081,"hapax_ratio avg_word_length, pronoun_ratio avg_word_length, unique_words_ratio avg_word_length, lexical_density avg_word_length, perplexity unique_words_ratio"
Global (All),250,1000,0.727,0.727,0.8251,"unique_words_ratio avg_word_length, lexical_density avg_word_length, entropy lexical_density, entropy, entropy unique_words_ratio"
0-300,1000,1000,0.728,0.7261,0.8,"entropy, hapax_ratio avg_word_length, entropy unique_words_ratio, entropy lexical_density, pronoun_ratio avg_word_length"
