Features_Used,Test_Accuracy
burstiness | sentence_length_deviation | clause_density | function_word_adjacency,0.8150676937441643
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.8149801587301587
sentence_length_deviation | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8148342670401494
burstiness | sentence_length_deviation | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8140172735760971
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.8139297385620915
sentence_length_deviation | dependency_tree_depth | clause_density | subject_verb_distance | function_word_adjacency,0.8137546685340803
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.8134628851540616
burstiness | sentence_length_deviation | dependency_tree_depth | lexical_density | stopword_gradient | function_word_adjacency,0.8132002801120448
burstiness | clause_density | verb_gap_deviation | function_word_adjacency,0.8124708216619981
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8124708216619981
burstiness | dependency_tree_depth | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.8122373949579832
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.8122082166199813
sentence_length_deviation | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8119164332399627
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | subject_verb_distance | function_word_adjacency,0.8118580765639589
sentence_length_deviation | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8115371148459384
burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8109827264239029
burstiness | sentence_length_deviation | stopword_gradient | function_word_adjacency,0.810749299719888
burstiness | sentence_length_deviation | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8104866946778712
sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | stopword_gradient | function_word_adjacency,0.8102240896358543
sentence_length_deviation | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8099323062558357
sentence_length_deviation | clause_density | stopword_gradient | function_word_adjacency,0.8097864145658263
burstiness | sentence_length_deviation | clause_density | stopword_gradient | function_word_adjacency,0.8097280578898226
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.8097280578898226
burstiness | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8090861344537815
burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.8085901027077498
sentence_length_deviation | dependency_tree_depth | clause_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.808327497665733
sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8081816059757236
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | stopword_gradient | function_word_adjacency,0.8080357142857143
burstiness | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,0.8068977591036415
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8068394024276377
sentence_length_deviation | clause_density | lexical_density | function_word_adjacency,0.8065184407096172
burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8064892623716153
burstiness | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.8064017273576097
burstiness | clause_density | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.8061683006535948
sentence_length_deviation | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8060224089635855
burstiness | sentence_length_deviation | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8050595238095238
sentence_length_deviation | verb_gap_deviation | lexical_density | function_word_adjacency,0.804796918767507
dependency_tree_depth | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.8043884220354809
burstiness | sentence_length_deviation | clause_density | lexical_density | function_word_adjacency,0.8043300653594772
sentence_length_deviation | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8040966386554622
sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,0.8038048552754435
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8037756769374417
burstiness | lexical_density | stopword_gradient | function_word_adjacency,0.8035130718954249
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.80281279178338
burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.802608543417367
burstiness | sentence_length_deviation | verb_gap_deviation | lexical_density | function_word_adjacency,0.8024626517273576
burstiness | dependency_tree_depth | clause_density | function_word_adjacency,0.8021125116713352
burstiness | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.8016748366013072
burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,0.8016164799253035
burstiness | sentence_length_deviation | lexical_density | function_word_adjacency,0.801295518207283
sentence_length_deviation | clause_density | subject_verb_distance | function_word_adjacency,0.8011204481792717
burstiness | dependency_tree_depth | clause_density | lexical_density | function_word_adjacency,0.8004201680672269
burstiness | sentence_length_deviation | clause_density | subject_verb_distance | function_word_adjacency,0.8003326330532213
sentence_length_deviation | dependency_tree_depth | lexical_density | subject_verb_distance | function_word_adjacency,0.799311391223156
sentence_length_deviation | clause_density | lexical_density | stopword_gradient | function_word_adjacency,0.7988445378151261
burstiness | sentence_length_deviation | subject_verb_distance | function_word_adjacency,0.7985527544351074
verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7982317927170869
burstiness | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7981734360410832
burstiness | sentence_length_deviation | dependency_tree_depth | lexical_density | subject_verb_distance | function_word_adjacency,0.7980859010270775
burstiness | clause_density | lexical_density | function_word_adjacency,0.7979400093370682
burstiness | dependency_tree_depth | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7979400093370682
burstiness | sentence_length_deviation | clause_density | lexical_density | stopword_gradient | function_word_adjacency,0.7975023342670402
sentence_length_deviation | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7974731559290383
burstiness | dependency_tree_depth | subject_verb_distance | function_word_adjacency,0.7965394491129785
sentence_length_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7963643790849673
sentence_length_deviation | clause_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7962476657329598
sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7962476657329598
sentence_length_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7958391690009337
dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.795547385620915
burstiness | dependency_tree_depth | clause_density | stopword_gradient | function_word_adjacency,0.795547385620915
burstiness | clause_density | stopword_gradient | function_word_adjacency,0.7955182072829131
burstiness | sentence_length_deviation | clause_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7950221755368814
dependency_tree_depth | clause_density | verb_gap_deviation | function_word_adjacency,0.7948471055088702
sentence_length_deviation | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7944677871148459
burstiness | sentence_length_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.794438608776844
sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.794438608776844
burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.794438608776844
burstiness | sentence_length_deviation | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7943218954248366
burstiness | sentence_length_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7938258636788048
burstiness | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7933298319327731
burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7930964052287581
burstiness | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,0.7928046218487395
sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,0.7927754435107376
burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7926295518207283
burstiness | sentence_length_deviation | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,0.7923377684407096
burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,0.7917250233426704
burstiness | clause_density | lexical_density | stopword_gradient | function_word_adjacency,0.7902952847805789
burstiness | dependency_tree_depth | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7902077497665733
